codcar,carrera
0,Otra Carrera Presencial
1,Licenciatura en Comunicaciones Sociales
2,Profesorado en Filosofía
4,Profesorado en Inglés
6,Profesorado en Psicología
7,Locutor Nacional
9,Tecnicatura Universitaria en Secretariado Ejecutivo
10,Licenciatura en Economía
11,Licenciatura en Administración de Empresas
11,Licenciatura en Administración de Empresas
14,Contador Público
14,Contador Público
15,Licenciatura en Comercialización
15,Licenciatura en Comercialización 
16,Abogacía
16,Abogacía
17,Licenciatura en Relaciones Internacionales
17,Licenciatura en Relaciones Internacionales
18,Ingeniería Civil
19,Ingeniería Industrial
26,Arquitectura
28,Diseño de Interiores
30,Licenciatura en Relaciones Públicas e Institucionales
31,Profesorado en Educación Física
32,Licenciatura en Educación Física
33,Caligrafo Público Nacional
37,Licenciatura en Informática
336,Licenciatura en Recursos Humanos 
46,Licenciatura en Criminalística
46,Licenciatura en Criminalística
53,Formación Docente para Profesionales
54,Productor y Director para Radio y Televisión
62,Maestría en Administración de Negocios
67,Perito en Balística
68,Perito en Accidentología
72,Especialización en Seguridad e Higiene en el Trabajo
83,Tecnicatura Universitaria en Higiene y Seguridad en el Trabajo
84,Ingenieria en Informática
86,Licenciatura en Turismo
88,Tecnicatura Univ. en Gestión de Bancos y Empresas Financieras
91,Licenciatura en Gestión Educativa (inactiva 91)
91,Licenciatura en Gestión Educativa  (inactiva 91)
94,Licenciatura en Inglés (Ciclo de Complementación Curricular)
96,Tecnicatura Universitaria en Gestión de Calidad
98,Especialización en Dirección de Recursos Humanos
100,Licenciatura en Filosofía
104,Licenciatura en Educación Física - Ciclo de Complementación Curricular
105,Licenciatura en Psicología
109,Traductor Público en Inglés
117,Ingenieria en Telecomunicaciones
121,Maestría en Gestión Ambiental
123,Ciencias Veterinarias
128,Operador Técnico de Estudio de Radio
133,Licenciatura en Administración Agropecuaria
138,Licenciatura en Higiene y Seguridad en el Trabajo
139,Licenciatura en Artes Musicales
141,Especialización en Dirección y Gestión de Alojamientos Turísticos
142,Licenciatura en Trabajo Social
148,Licenciatura en Diseño de Interiores - Ciclo de complementación Curricular
153,Diplomatura Universitaria en Derecho de Familia
192,Especialización en Evaluación de Impacto Ambiental
194,Licenciatura en Educación Física - Ciclo de Complementación Curricular
195,Licenciatura en Turismo - Ciclo de Complementación Curricular
196,Licenciatura en Seguridad - Ciclo de Complementación Curricular
197,Especialización en Derecho de Daños
198,Especialización en Finanzas de Empresas
199,Especialización en Clínica de Pequeños Animales Domésticos
203,Licenciatura en Artes Plásticas (Ciclo de complementación curricular)
204,Especialización en Derecho Tributario
206,Especialización en Gestión de la Construcción
212,Tecnicatura Universitaria en Ceremonial y Protocolo
213,Especialización en Ciencias Penales
214,Licenciatura en Comercio Internacional
216,Licenciatura en Geografía
217,Operador Técnico de Estudio de Televisión
218,Especialización en Gerenciamiento de Empresas Vitivinícolas
219,Especialización en Auditoría y Control de Gestión
220,Licenciatura en Imagen y Sonido
221,Licenciatura en Diseño Gráfico
222,Licenciatura en Publicidad
223,Licenciatura en Periodismo
224,Postgrado Ejecutivo en Gestión de Agronegocios
228,Maestría en Valoración del Patrimonio Natural y Cultural 
229,Especialización en Deportes y Actividad Física para la Salud
231,Licenciatura en Producción Animal
238,Tecnicatura Universitaria en Actividad Física y  Fitness
239,Especialización en Problemáticas Subjetivas del Contexto Jurídico Forense
240,Profesorado en Campo Disciplinar según Titulación de Base
241,Especialización en Dirección Estratégica de las Organizaciones
242,Maestría en Agronegocios 
243,Tecnicatura en Ciencias Forestales
244,Corredor Inmobiliario y Martillero Público
296,Maestría en Magistratura
333,Diplomatura Universitaria en Accidentología Vial
335,Licenciatura en Fonoaudiología - Ciclo Complementación
337,Especialización en Abogacía del Estado 
344,Maestría en Emprendimientos Sociales 
11,Licenciatura en Administración de Empresas
14,Contador Público
16,Abogacía
17,Licenciatura en Relaciones Internacionales
113,Licenciatura en Gestión Educativa
127,Licenciatura en Enseñanza de la Economía y Gestión de las Organizaciones - Ciclo de Licenciatura
